Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,8.2,3133227,2,
Albania,59,1674093,32,26
Algeria,23,9989662,14,9.7
Angola,8.9,2820134,5.8,3.1
Argentina,111,50010169,65,46
Armenia,12,366779,8,4.4
Aruba,146,155285,76,70
Australia,102,25782517,61,40
Austria,121,10759454,64,61
Azerbaijan,82,8169473,47,35
Bahamas,47,184431,27,19
Bahrain,155,2545834,71,68
Bangladesh,24,39118015,14,9.6
Barbados,80,228890,45,35
Belarus,36,3389520,20,16
Belgium,144,16516158,74,73
Belize,75,293681,48,28
Benin,1.5,174104,1.3,0.2
Bhutan,140,1068414,75,65
Bolivia,56,6443148,37,27
Bosnia and Herzegovina,32,1060145,19,13
Botswana,26,606699,16,9.8
Brazil,108,227164873,70,40
Brunei,100,432882,61,39
Bulgaria,36,2494575,,19
Burkina Faso,1.3,254545,1.2,0.8
Cambodia,142,23341613,78,65
Cameroon,1.8,459397,1.5,0.3
Canada,148,55527774,77,71
Cape Verde,73,402075,51,22
Central African Republic,3.2,150393,3,0.2
Chad,0.8,123052,0.6,0.2
Chile,165,31192299,78,74
Colombia,77,38683134,50,32
Comoros,40,336863,21,19
Congo,0.2,134860,0.1,0.1
Costa Rica,105,5278407,65,40
Croatia,84,3397030,44,41
Cuba,168,19073986,76,42
Curaçao,118,186219,62,56
Cyprus,95,1144151,49,46
Czech Republic,110,11756805,57,56
Denmark,150,8744427,76,75
Djibouti,6.9,67229,4.2,2.7
Dominican Rep.,109,11741680,56,45
Ecuador,120,20883577,64,57
Egypt,14,13808798,8.7,5.1
El Salvador,112,7233466,61,51
Equatorial Guinea,28,381835,16,12
Estonia,102,1350022,57,45
Eswatini,21,239551,18,17
Ethiopia,3.1,3460250,2.4,0.7
Fiji,110,975268,66,44
Finland,135,7439951,75,60
France,138,92262410,74,64
French Polynesia,101,282180,54,47
Gabon,8.2,177392,4.6,3.5
Gambia,8.6,201835,7.7,7.1
Georgia,46,1715073,26,20
Germany,128,106623426,68,64
Ghana,5.3,1623582,2.8,2.5
Greece,112,11983436,60,56
Grenada,46,51610,27,19
Guatemala,39,6424045,26,13
Guinea,12,1554669,8.4,3.8
Guinea-Bissau,4.9,94715,4.5,0.4
Guyana,68,533843,45,23
Haiti,0.5,61545,0.4,0.2
Honduras,72,7026806,52,20
Hong Kong,114,8473964,59,54
Iceland,153,551110,78,76
India,61,837239837,45,16
Indonesia,48,130228475,31,17
Iran,52,43372270,36,17
Iraq,19,7448300,12,6.3
Ireland,145,7157391,76,74
Israel,164,14840739,67,62
Italy,138,83383557,74,67
Ivory Coast,7.3,1868955,4.6,1.1
Jamaica,24,711694,17,7.4
Japan,124,156559895,68,56
Jordan,68,6882807,36,32
Kazakhstan,74,13698195,40,34
Kenya,6.7,3507836,5,1.7
Kiribati,27,31332,21,5.9
Kyrgyzstan,22,1388295,12,9.1
Laos,61,4402770,39,27
Lebanon,41,2800146,23,18
Lesotho,16,332954,12,11
Libya,22,1501622,20,2.5
Lithuania,120,3339375,62,58
Luxembourg,125,777789,67,64
Macau,103,649564,55,48
Madagascar,1.4,381633,0.7,0.7
Mainland China,157,2190792000,79,73
Malawi,5.4,1010384,4.1,2.6
Malaysia,130,41573883,70,60
Maldives,137,724971,74,63
Mali,2,397853,1.6,0.4
Malta,162,814067,83,83
Mauritania,7.4,333089,6.9,0.5
Mauritius,129,1633952,67,62
Mexico,76,97523713,49,34
Moldova,52,1375981,,29
Mongolia,136,4375211,70,66
Montenegro,71,440083,38,33
Morocco,108,39523919,59,49
Mozambique,12,3644423,6.3,5.7
Myanmar,17,9001616,10,6.4
Namibia,16,407502,10,6.4
Nepal,42,12154018,22,20
Netherlands,128,22272373,70,63
New Caledonia,72,206784,44,28
New Zealand,100,4917531,65,35
Nicaragua,12,769105,7.5,4.3
Niger,2.7,621853,1.7,0.4
Nigeria,3.1,6255025,2.2,0.9
North Macedonia,71,1482287,37,34
Norway,144,7693893,77,67
Oman,93,4636486,56,37
Pakistan,35,76141484,26,12
Panama,120,5087853,68,51
Papua New Guinea,1.8,154710,1.3,0.5
Paraguay,62,4401222,36,26
Peru,75,24443018,46,30
Philippines,40,43088582,23,22
Poland,98,37104651,52,51
Portugal,155,15888462,87,84
Qatar,165,4681668,83,78
Republic of the Congo,6.1,329905,4,2.1
Romania,52,9987918,28,27
Russia,61,88567925,33,29
Rwanda,27,3409470,16,11
Saint Lucia,41,74492,24,17
Saint Vincent and the Grenadines,30,33077,18,12
Samoa,76,149431,50,26
Saudi Arabia,121,41360564,68,53
Senegal,11,1784832,7.5,3.5
Serbia,91,6352644,43,41
Sierra Leone,2.8,221110,2.3,0.5
Singapore,161,9199565,82,80
Slovakia,86,4673341,45,41
Slovenia,100,2090618,53,47
Solomon Islands,15,97744,11,3.5
Somalia,2.8,430762,1.6,1.2
